epoch,train_loss,val_loss,train_acc,val_acc,seconds
1,0.6412119483947754,0.6165435124397278,0.6294,0.668,27.738728046417236
2,0.4993759565830231,0.42223925213813784,0.755525,0.8084,22.04517674446106
3,0.3942597182035446,0.35102048931121826,0.824525,0.8442,12.251388788223267
4,0.3196145981550217,0.3726579205989838,0.867275,0.8234,22.228195190429688
5,0.2633894673705101,0.3032282661914825,0.89405,0.8792,17.594998836517334
6,0.20450537614822387,0.30074559018611907,0.920825,0.8788,11.730139970779419
7,0.16734808204770088,0.32431019177436826,0.9374,0.8816,11.744006156921387
8,0.13169006807804107,0.3480889220952988,0.952725,0.8874,11.93435549736023
