D_loss,G_loss,D_loss_real,D_loss_fake,D_x,D_G_z,epoch,seconds
0.9702061838380944,1.6935355924109639,0.4848006943590132,0.485405490533901,0.6578391953873405,0.318178818775331,1,5.226971626281738
1.0108554106257386,1.1647161244073825,0.51132487175686,0.4995305385508176,0.6338351110638524,0.35439234087790344,2,4.72269344329834
1.040771451678322,1.2375863791148207,0.5270351998611347,0.5137362509584223,0.6415930271403131,0.3511370560402804,3,4.900512456893921
1.1538245345256117,1.0655255275703928,0.5820587418313469,0.5717657931395503,0.6018810644666311,0.3933668253961215,4,4.651812791824341
1.1914431157590486,0.9979966876346502,0.5996167527764177,0.5918263633006919,0.585356978749262,0.40909350436805025,5,5.510244846343994
1.1993327449963467,0.9776782760497982,0.6026129801156299,0.5967197633222174,0.5808722859640132,0.4139989896606865,6,7.472258567810059
1.1933550633641166,0.9872383470214673,0.5992103905408079,0.5941446734912368,0.5822139125050959,0.41073887353900146,7,10.715879440307617
1.1879766136248822,0.998585940107083,0.5966180022587262,0.591358610793646,0.5843519612017665,0.40727088144774626,8,5.930479526519775
1.1815507329260908,1.0097265256888839,0.5933146094436198,0.5882361222102268,0.5872313795629154,0.4057826852404066,9,5.480218410491943
1.1783131638993067,1.0212779954759645,0.5916194538869115,0.5866937074042944,0.5893052301450117,0.40253195456023405,10,6.434098482131958
1.1725170048730986,1.0295676605551323,0.5888539135710534,0.5836630917155247,0.592274365837317,0.40159277374614644,11,4.568066596984863
1.1661369346376418,1.0425919269548536,0.5856063182415041,0.5805306151875055,0.5948334013766896,0.39869116534545557,12,4.612874746322632
1.161634153782876,1.050584805177141,0.5845295435400121,0.5771046098929968,0.597228983741178,0.3972106342827116,13,4.6321704387664795
1.1597045363586003,1.065325393302718,0.5826897930310146,0.5770147441227382,0.598805047404677,0.3936771108284831,14,6.757869720458984
1.1557786388356506,1.0695511405470532,0.5809858123609833,0.574792826156606,0.6003358785218084,0.3934795690766012,15,4.80535364151001
1.1552073084684675,1.0771140891307192,0.5806322629576431,0.5745750452881816,0.6011411755036646,0.39191760903615963,16,4.814101696014404
1.1566930770110677,1.0878004024606378,0.5819232358558455,0.5747698411552221,0.6012737380147871,0.38870308766879036,17,4.363261699676514
1.1493149271896834,1.0883546376177442,0.5785348776692133,0.5707800501883984,0.6034069478575422,0.3890078277063726,18,4.309783935546875
1.1496083207802177,1.0931278446822437,0.5784334152968742,0.5711749034159466,0.6038880112840374,0.38890339295790316,19,4.361239433288574
1.1481125196372433,1.095018886387539,0.5775082554735776,0.5706042662310625,0.6045749430786203,0.3893187588027091,20,4.37937068939209
